window_id,window_start_date,window_end_date,event_count,total_estimated_impact_energy_kt,max_estimated_impact_energy_kt,event_ids,dates_utc,window_note
HEF_0137,2021-11-28,2021-12-12,2,0.27,0.17,FB_20211128180650_00161 | FB_20211210011905_00160,2021-11-28 18:06:50 | 2021-12-10 01:19:05,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0037,2014-12-12,2014-12-26,2,0.26,0.15,FB_20141212064807_00420 | FB_20141213025352_00419,2014-12-12 06:48:07 | 2014-12-13 02:53:52,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0174,2024-05-05,2024-05-19,2,0.26,0.13,FB_20240505201103_00074 | FB_20240518224648_00072,2024-05-05 20:11:03 | 2024-05-18 22:46:48,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0186,2025-02-02,2025-02-16,2,0.26,0.13,FB_20250202163050_00044 | FB_20250212043339_00041,2025-02-02 16:30:50 | 2025-02-12 04:33:39,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0051,2015-11-13,2015-11-27,1,0.26,0.26,FB_20151113145927_00377,2015-11-13 14:59:27,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0111,2019-12-21,2020-01-04,1,0.26,0.26,FB_20191221143052_00230,2019-12-21 14:30:52,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0123,2020-11-07,2020-11-21,1,0.26,0.26,FB_20201107212704_00194,2020-11-07 21:27:04,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0159,2023-04-26,2023-05-10,2,0.24,0.13,FB_20230426131459_00100 | FB_20230507230005_00099,2023-04-26 13:14:59 | 2023-05-07 23:00:05,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0067,2016-11-03,2016-11-17,1,0.24,0.24,FB_20161103171429_00345,2016-11-03 17:14:29,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0085,2018-02-21,2018-03-07,1,0.24,0.24,FB_20180221012803_00302,2018-02-21 01:28:03,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0106,2019-08-16,2019-08-30,2,0.23,0.13,FB_20190816203605_00248 | FB_20190824120259_00246,2019-08-16 20:36:05 | 2019-08-24 12:02:59,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0020,2013-11-21,2013-12-05,1,0.23,0.23,FB_20131121015035_00455,2013-11-21 01:50:35,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0045,2015-07-04,2015-07-18,1,0.23,0.23,FB_20150704014011_00393,2015-07-04 01:40:11,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0144,2022-04-12,2022-04-26,2,0.22,0.11,FB_20220412215911_00140 | FB_20220421221528_00139,2022-04-12 21:59:11 | 2022-04-21 22:15:28,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0005,2012-08-27,2012-09-10,1,0.22,0.22,FB_20120827065743_00491,2012-08-27 06:57:43,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0119,2020-08-02,2020-08-16,1,0.21,0.21,FB_20200802163624_00204,2020-08-02 16:36:24,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0094,2018-10-05,2018-10-19,1,0.2,0.2,FB_20181005002702_00280,2018-10-05 00:27:02,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0120,2020-08-30,2020-09-13,1,0.2,0.2,FB_20200830160821_00203,2020-08-30 16:08:21,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0152,2022-12-13,2022-12-27,1,0.2,0.2,FB_20221213172600_00116,2022-12-13 17:26:00,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0179,2024-09-04,2024-09-18,1,0.2,0.2,FB_20240904163932_00058,2024-09-04 16:39:32,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0028,2014-05-29,2014-06-12,1,0.19,0.19,FB_20140529011236_00440,2014-05-29 01:12:36,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0077,2017-07-31,2017-08-14,1,0.19,0.19,FB_20170731220135_00323,2017-07-31 22:01:35,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0117,2020-05-27,2020-06-10,1,0.19,0.19,FB_20200527173017_00208,2020-05-27 17:30:17,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0178,2024-08-20,2024-09-03,1,0.19,0.19,FB_20240820125351_00060,2024-08-20 12:53:51,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0121,2020-09-18,2020-10-02,1,0.18,0.18,FB_20200918080526_00202,2020-09-18 08:05:26,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0182,2024-11-10,2024-11-24,1,0.18,0.18,FB_20241110163152_00052,2024-11-10 16:31:52,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0053,2015-12-30,2016-01-13,1,0.16,0.16,FB_20151230130750_00374,2015-12-30 13:07:50,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0165,2023-09-28,2023-10-12,1,0.16,0.16,FB_20230928203233_00088,2023-09-28 20:32:33,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0170,2024-02-05,2024-02-19,1,0.16,0.16,FB_20240205003254_00078,2024-02-05 00:32:54,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0017,2013-09-07,2013-09-21,1,0.15,0.15,FB_20130907204913_00459,2013-09-07 20:49:13,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0069,2016-12-23,2017-01-06,1,0.15,0.15,FB_20161223032909_00341,2016-12-23 03:29:09,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0167,2023-11-21,2023-12-05,1,0.15,0.15,FB_20231121221729_00082,2023-11-21 22:17:29,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0181,2024-10-22,2024-11-05,1,0.15,0.15,FB_20241022105448_00053,2024-10-22 10:54:48,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0078,2017-09-05,2017-09-19,1,0.14,0.14,FB_20170905051127_00322,2017-09-05 05:11:27,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0095,2018-10-24,2018-11-07,1,0.14,0.14,FB_20181024211907_00278,2018-10-24 21:19:07,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0131,2021-05-16,2021-05-30,1,0.14,0.14,FB_20210516155107_00175,2021-05-16 15:51:07,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0171,2024-02-26,2024-03-11,1,0.13,0.13,FB_20240226112101_00077,2024-02-26 11:21:01,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0014,2013-06-01,2013-06-15,1,0.12,0.12,FB_20130601224948_00468,2013-06-01 22:49:48,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0016,2013-08-12,2013-08-26,1,0.12,0.12,FB_20130812180802_00460,2013-08-12 18:08:02,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0034,2014-10-21,2014-11-04,1,0.12,0.12,FB_20141021185537_00427,2014-10-21 18:55:37,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0127,2021-02-09,2021-02-23,1,0.12,0.12,FB_20210209232729_00183,2021-02-09 23:27:29,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0190,2025-04-28,2025-05-12,1,0.12,0.12,FB_20250428150115_00030,2025-04-28 15:01:15,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0057,2016-03-16,2016-03-30,1,0.11,0.11,FB_20160316235420_00365,2016-03-16 23:54:20,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0062,2016-07-21,2016-08-04,1,0.11,0.11,FB_20160721004852_00352,2016-07-21 00:48:52,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0066,2016-10-01,2016-10-15,1,0.11,0.11,FB_20161001202345_00346,2016-10-01 20:23:45,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0092,2018-08-27,2018-09-10,1,0.11,0.11,FB_20180827043644_00286,2018-08-27 04:36:44,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0162,2023-07-06,2023-07-20,1,0.11,0.11,FB_20230706055230_00095,2023-07-06 05:52:30,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0172,2024-03-17,2024-03-31,1,0.11,0.11,FB_20240317061758_00076,2024-03-17 06:17:58,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0173,2024-04-09,2024-04-23,1,0.11,0.11,FB_20240409044743_00075,2024-04-09 04:47:43,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0193,2025-07-11,2025-07-25,1,0.11,0.11,FB_20250711014833_00025,2025-07-11 01:48:33,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0012,2013-03-12,2013-03-26,1,0.1,0.1,FB_20130312103259_00472,2013-03-12 10:32:59,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0032,2014-09-09,2014-09-23,1,0.1,0.1,FB_20140909185546_00431,2014-09-09 18:55:46,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0046,2015-08-04,2015-08-18,1,0.1,0.1,FB_20150804102459_00390,2015-08-04 10:24:59,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0136,2021-11-08,2021-11-22,1,0.1,0.1,FB_20211108052828_00163,2021-11-08 05:28:28,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0154,2023-01-17,2023-01-31,1,0.1,0.1,FB_20230117065717_00111,2023-01-17 06:57:17,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0185,2025-01-11,2025-01-25,1,0.1,0.1,FB_20250111144600_00045,2025-01-11 14:46:00,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0200,2026-04-08,2026-04-22,1,0.1,0.1,FB_20260408015847_00006,2026-04-08 01:58:47,High-energy fireballs >= 0.1 kt inside 14-day window
