window_id,window_start_date,window_end_date,event_count,total_estimated_impact_energy_kt,max_estimated_impact_energy_kt,event_ids,dates_utc,window_note
HEF_0056,2016-02-21,2016-03-06,3,1.28,0.97,FB_20160221055853_00368 | FB_20160223035913_00367 | FB_20160303013243_00366,2016-02-21 05:58:53 | 2016-02-23 03:59:13 | 2016-03-03 01:32:43,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0166,2023-10-14,2023-10-28,4,1.24,0.78,FB_20231014225525_00087 | FB_20231016171452_00086 | FB_20231023025126_00085 | FB_20231026085824_00084,2023-10-14 22:55:25 | 2023-10-16 17:14:52 | 2023-10-23 02:51:26 | 2023-10-26 08:58:24,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0112,2020-01-06,2020-01-20,4,1.23,0.56,FB_20200106110349_00229 | FB_20200115063139_00228 | FB_20200116093142_00227 | FB_20200117212946_00226,2020-01-06 11:03:49 | 2020-01-15 06:31:39 | 2020-01-16 09:31:42 | 2020-01-17 21:29:46,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0143,2022-03-24,2022-04-07,2,1.22,0.98,FB_20220324034342_00145 | FB_20220328102024_00143,2022-03-24 03:43:42 | 2022-03-28 10:20:24,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0202,2026-05-21,2026-06-04,2,1.22,1.1,FB_20260521021551_00002 | FB_20260530180623_00001,2026-05-21 02:15:51 | 2026-05-30 18:06:23,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0050,2015-10-30,2015-11-13,3,1.2,0.66,FB_20151030070712_00380 | FB_20151031113430_00379 | FB_20151102213420_00378,2015-10-30 07:07:12 | 2015-10-31 11:34:30 | 2015-11-02 21:34:20,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0023,2014-01-08,2014-01-22,4,1.19,0.41,FB_20140108170533_00452 | FB_20140112160048_00451 | FB_20140115024613_00450 | FB_20140119025438_00449,2014-01-08 17:05:33 | 2014-01-12 16:00:48 | 2014-01-15 02:46:13 | 2014-01-19 02:54:38,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0157,2023-03-11,2023-03-25,1,1.1,1.1,FB_20230311082128_00105,2023-03-11 08:21:28,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0107,2019-09-12,2019-09-26,4,1.08,0.42,FB_20190912023458_00245 | FB_20190912124947_00244 | FB_20190913020203_00243 | FB_20190914123933_00242,2019-09-12 02:34:58 | 2019-09-12 12:49:47 | 2019-09-13 02:02:03 | 2019-09-14 12:39:33,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0070,2017-02-06,2017-02-20,2,1.07,0.85,FB_20170206060959_00340 | FB_20170218194829_00338,2017-02-06 06:09:59 | 2017-02-18 19:48:29,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0195,2025-09-08,2025-09-22,3,1.04,0.48,FB_20250908100915_00022 | FB_20250909174910_00021 | FB_20250913222459_00019,2025-09-08 10:09:15 | 2025-09-09 17:49:10 | 2025-09-13 22:24:59,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0041,2015-03-30,2015-04-13,4,1.03,0.57,FB_20150330213352_00407 | FB_20150403013938_00406 | FB_20150408040631_00405 | FB_20150410011427_00404,2015-03-30 21:33:52 | 2015-04-03 01:39:38 | 2015-04-08 04:06:31 | 2015-04-10 01:14:27,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0001,2012-05-04,2012-05-18,2,1.03,0.64,FB_20120504215449_00500 | FB_20120515110417_00499,2012-05-04 21:54:49 | 2012-05-15 11:04:17,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0006,2012-09-11,2012-09-25,2,1.0,0.69,FB_20120911220730_00489 | FB_20120918193439_00488,2012-09-11 22:07:30 | 2012-09-18 19:34:39,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0149,2022-08-14,2022-08-28,1,1.0,1.0,FB_20220814073917_00126,2022-08-14 07:39:17,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0191,2025-05-31,2025-06-14,1,1.0,1.0,FB_20250531230633_00029,2025-05-31 23:06:33,High-energy fireballs >= 0.1 kt inside 14-day window
