rank,candidate_type,candidate_id,candidate_name,primary_date_or_window,score,reason,source_report
62,high_energy_fireball_window,HEF_0116,HEF_0116,2020-05-09 to 2020-05-23,84.45,4 high-energy fireballs; total energy 0.89 kt,high_energy_fireball_windows.csv
63,high_energy_fireball_window,HEF_0043,HEF_0043,2015-05-07 to 2015-05-21,84.25,4 high-energy fireballs; total energy 0.85 kt,high_energy_fireball_windows.csv
64,high_energy_fireball_window,HEF_0153,HEF_0153,2022-12-29 to 2023-01-12,83.45,4 high-energy fireballs; total energy 0.69 kt,high_energy_fireball_windows.csv
65,close_approach_window,CAW_0050,CAW_0050,2002-12-11 to 2002-12-25,83.427,3 close approaches; closest distance 0.000786724919 au,close_approach_windows.csv
66,high_energy_fireball_window,HEF_0079,HEF_0079,2017-10-04 to 2017-10-18,83.25,4 high-energy fireballs; total energy 0.65 kt,high_energy_fireball_windows.csv
67,high_energy_fireball_window,HEF_0110,HEF_0110,2019-11-28 to 2019-12-12,82.85,4 high-energy fireballs; total energy 0.57 kt,high_energy_fireball_windows.csv
68,close_approach_window,CAW_0033,CAW_0033,2001-12-15 to 2001-12-29,82.18,4 close approaches; closest distance 0.008910132689 au,close_approach_windows.csv
69,close_approach_window,CAW_0090,CAW_0090,2005-01-03 to 2005-01-17,81.489,3 close approaches; closest distance 0.001755327691 au,close_approach_windows.csv
70,close_approach_window,CAW_0005,CAW_0005,2000-03-19 to 2000-04-02,81.409,3 close approaches; closest distance 0.001795695641 au,close_approach_windows.csv
71,high_energy_fireball_window,HEF_0047,HEF_0047,2015-09-02 to 2015-09-16,81.2,3 high-energy fireballs; total energy 4.24 kt,high_energy_fireball_windows.csv
72,high_energy_fireball_window,HEF_0072,HEF_0072,2017-03-08 to 2017-03-22,81.1,3 high-energy fireballs; total energy 4.22 kt,high_energy_fireball_windows.csv
73,close_approach_window,CAW_0085,CAW_0085,2004-10-13 to 2004-10-27,81.036,3 close approaches; closest distance 0.001981829562 au,close_approach_windows.csv
74,close_approach_window,CAW_0018,CAW_0018,2001-01-05 to 2001-01-19,80.907,3 close approaches; closest distance 0.002046659868 au,close_approach_windows.csv
75,close_approach_window,CAW_0015,CAW_0015,2000-10-31 to 2000-11-14,78.81,4 close approaches; closest distance 0.010594839269 au,close_approach_windows.csv
76,close_approach_window,CAW_0037,CAW_0037,2002-02-24 to 2002-03-10,78.78,3 close approaches; closest distance 0.003110084654 au,close_approach_windows.csv
