year,close_approach_count,minimum_distance_au,maximum_velocity_relative_km_s
2000,154,0.001795695641,29.198549
2001,168,0.000803236221,25.860357
2002,206,0.000786724919,30.588399
2003,197,0.000563056369,27.003597
2004,259,8.6318969e-05,32.187983
2005,16,0.001755327691,17.022912
