year,month,fireball_event_count,total_estimated_impact_energy_kt,average_estimated_impact_energy_kt,max_estimated_impact_energy_kt
2025,2,6,0.719,0.119833,0.18
2025,3,6,5.01,0.835,2.4
2025,4,3,0.278,0.092667,0.12
2025,5,1,1.0,1.0,1.0
2025,6,3,0.97,0.323333,0.48
2025,7,1,0.11,0.11,0.11
2025,8,2,1.75,0.875,1.6
2025,9,4,1.138,0.2845,0.48
2025,10,1,0.073,0.073,0.073
2025,11,2,0.6,0.3,0.32
2025,12,1,0.29,0.29,0.29
2026,1,2,0.31,0.155,0.19
2026,2,1,0.076,0.076,0.076
2026,3,3,0.638,0.212667,0.37
2026,4,4,0.425,0.10625,0.16
2026,5,4,1.61,0.4025,1.1
