rank,candidate_type,candidate_id,candidate_name,primary_date_or_window,score,orbit_context_status,orbit_class_code,orbit_class_name,is_neo,is_pha,moid_au,estimated_diameter_km,sentry_match_status,sentry_year_range,sentry_impact_probability,review_note
120,high_energy_fireball_window,HEF_0113,HEF_0113,2020-01-21 to 2020-02-04,62.05,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
121,high_energy_fireball_window,HEF_0049,HEF_0049,2015-10-04 to 2015-10-18,61.9,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
122,repeating_close_approach_object,2022 YG,       (2022 YG),2001-Jul-17 14:36 to 2004-Jul-17 07:15,61.852,ok,APO,Apollo,True,False,,,not_matched_in_fetched_sentry,,,Specific object enriched with SBDB orbital context.
123,close_approach_window,CAW_0043,CAW_0043,2002-07-11 to 2002-07-25,61.852,not_enriched,,,,,,,not_matched_in_fetched_sentry,,,No direct SBDB context attached in this run.
124,high_energy_fireball_window,HEF_0087,HEF_0087,2018-04-21 to 2018-05-05,61.85,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
125,close_approach_window,CAW_0040,CAW_0040,2002-05-03 to 2002-05-17,61.598,not_enriched,,,,,,,matched_sentry,2119-2124,6.27e-07,No direct SBDB context attached in this run.
126,high_energy_fireball_window,HEF_0163,HEF_0163,2023-07-26 to 2023-08-09,61.2,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
127,close_approach_window,CAW_0070,CAW_0070,2004-02-01 to 2004-02-15,60.829,not_enriched,,,,,,,not_matched_in_fetched_sentry,,,No direct SBDB context attached in this run.
128,high_energy_fireball_window,HEF_0142,HEF_0142,2022-03-06 to 2022-03-20,59.7,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
129,close_approach_window,CAW_0087,CAW_0087,2004-11-12 to 2004-11-26,59.423,not_enriched,,,,,,,matched_sentry,2049-2114,2.41220417e-05,No direct SBDB context attached in this run.
130,close_approach_window,CAW_0054,CAW_0054,2003-04-05 to 2003-04-19,58.54,not_enriched,,,,,,,matched_sentry,2096-2126,2.23781288e-05,No direct SBDB context attached in this run.
